135787 records from ../../../Cologne_localcopy/pw/pwxml/xml/pwhw2.txt
281095 records read from ../../../Cologne_localcopy/pw/pwtxt/pw.txt
972 filtered
ADJUST 099: 57318:nah:118482:*prAva => prAva
ADJUST 100: 57318:nah:118485:*nirA => nirA
ADJUST 101: 57708:nAT:119285:*upa => upa
ADJUST 102: 58274:nikz:120421:*pra => pra
ADJUST 103: 58507:nid:120900:*pra => pra
ADJUST 104: 60495:nI:124898:a/vA => avA
ADJUST 105: 61760:pac:127538:*praRi => praRi
ADJUST 106: 62354:paW:128748:*vyati => vyati
ADJUST 107: 62448:pat:128955:pra/ => pra
ADJUST 108: 62448:pat:128956:vi/-a/nu => vianu
ADJUST 109: 62448:pat:128977:A/ => A
ADJUST 110: 62448:pat:128983:*pariRi => pariRi
ADJUST 111: 62713:pad:129595:*pariRi => pariRi
ADJUST 112: 63142:par:130514:pra/ => pra
ADJUST 113: 67218:piz:138769:*prani => prani
ADJUST 114: 75214:psA:154948:*pariRi => pariRi
ADJUST 115: 75887:barh:156338:*ava => ava
ADJUST 116: 75888:barh:156361:*ni => ni
ADJUST 117: 79236:BA:163216:*vyAti => vyAti
ADJUST 118: 80049:Buj:164941:*vi => vi
ADJUST 119: 80202:BU:165271:pra-ati => praati
ADJUST 120: 80202:BU:165272:*vyati => vyati
ADJUST 121: 80202:BU:165302:*praRi => praRi
ADJUST 122: 83763:marS:172701:u/popa => upopa
ADJUST 123: 83766:marz:172720:*apa => apa
ADJUST 124: 85533:mA:176272:*pariRi => pariRi
ADJUST 125: 85535:mA:176290:*pariRi => pariRi
ADJUST 126: 85536:mA:176295:*pariRi => pariRi
ADJUST 127: 86748:mi:178729:*praRi => praRi
ADJUST 128: 86973:mid:179199:*pra => pra
ADJUST 129: 90246:yam:186024:(samA => 
ADJUST 130: 90611:yA:186840:*pariRi => pariRi
ADJUST 131: 90611:yA:186856:sa/ma/nupra/ => samanupra
ADJUST 132: 91091:yuC:187869:nirA(?) => nirA
ADJUST 133: 93138:rA:192159:*vyati => vyati
ADJUST 134: 96408:lU:199264:°vyati => vyati
ADJUST 135: 98219:vap:203066:*parini => parini
ADJUST 136: 99302:vas:205572:sam) => sam
ADJUST 137: 99671:vah:206400:*pariRi => pariRi
ADJUST 138: 99671:vah:206415:*saMvi => saMvi
ADJUST 139: 99770:vA:206660:*nis => nis
ADJUST 140: 104016:virAga:215286:nAnA° => nAnA
ADJUST 141: 104058:virAvin:215372:mahArAva° => mahArAva
ADJUST 142: 104497:viS:216322:*praRi => praRi
ADJUST 143: 104590:viSiKAntara:216540:anu-car => anucar
ADJUST 144: 104590:viSiKAntara:216541:ati-pat => atipat
ADJUST 145: 108251:vyac:223943:*ud => ud
ADJUST 146: 110106:Sad:227817:*A => A
ADJUST 147: 110496:Sar:228647:anu/ => anu
ADJUST 148: 114670:SyA:237209:*aBi => aBi
ADJUST 149: 114670:SyA:237210:*samaBi => samaBi
ADJUST 150: 114670:SyA:237211:*ava => ava
ADJUST 151: 114670:SyA:237214:*prati => prati
ADJUST 152: 114670:SyA:237216:*aBisam => aBisam
ADJUST 153: 114670:SyA:237217:*avasam => avasam
ADJUST 154: 116488:zWiv:241048:*apani => apani
ADJUST 155: 125322:siD:259135:*pari => pari
ADJUST 156: 125322:siD:259141:*vi => vi
ADJUST 157: 125604:su:259730:*nis => nis
ADJUST 158: 125604:su:259731:*pari => pari
ADJUST 159: 128531:sU:265599:pari° => pari
ADJUST 160: 130228:skad:269049:*ud => ud
ADJUST 161: 131584:sPur:272095:*ni => ni
ADJUST 162: 131762:syad:272508:*nis => nis
ADJUST 163: 132031:svaj:273106:*ni => ni
ADJUST 164: 132127:svan:273315:*ni => ni
ADJUST 165: 132155:svap:273381:*dus => dus
ADJUST 166: 132155:svap:273384:*nis => nis
ADJUST 167: 133457:han:276026:*antar => antar
ADJUST 168: 133457:han:276045:°vyA => vyA
ADJUST 169: 134145:has:277611:*vyati => vyati
ADJUST 170: 135644:hnu:280736:*vi => vi
7796 records written to preverb1.txt
