122736 records from ../../../pwg/pywork/pwghw2.txt
1149416 records read from ../../../pwg/orig/pwg.txt
1209 filtered
ADJUST 089: 69735:kar:664479:vyA, dIpaH - vyAkIrRArciH => vyA
ADJUST 090: 69880:kart:665462:ava, (BUrjadrumasya) carmaBirniSitaSastraSatAvakfttEH => ava
ADJUST 091: 69880:kart:665465:ud, (mAMsam) svamutkftyAsinA => ud
ADJUST 092: 69880:kart:665469:nis, nizkftya gardaBam => nis
ADJUST 093: 69880:kart:665474:pra, vikartata => pra
ADJUST 094: 69957:karz:665998:apA, anapAkfzwa => apA
ADJUST 095: 69957:karz:666023:ni, nikfzwa => ni
ADJUST 096: 69957:karz:666029:saMni, saMnikfzwaviprakfzwayoH => saMni
ADJUST 097: 69965:kal:666153:ud, prItyutkalitalocana => ud
ADJUST 098: 71265:kUj:674606:vi, muzwimaDye vikUjitvA => vi
ADJUST 099: 71843:kram:678350:samaByati, cittaM samaByatyakrAmatkA nviyaM devatADikA => samaByati
ADJUST 100: 71843:kram:678407:nirA, °kramat => nirA
ADJUST 101: 71843:kram:678433:nis, pAWe tu muKanizkrAntA vipruzo brahmabindavaH => nis
ADJUST 102: 71843:kram:678439:parA, °krAntaM cAtra sUriBiH => parA
ADJUST 103: 71843:kram:678458:vi, SUrasya - siMhavikrAntacAriRaH => vi
ADJUST 104: 71843:kram:678480:pratisam, °krAnta => pratisam
ADJUST 105: 71902:krI:678840:sam, °krIRIta => sam
ADJUST 106: 71903:krIq:678858:pra, utpatyAruhya dolAyAM prAkrIqadvarakanyakA => pra
ADJUST 107: 71903:krIq:678862:vi, vraje vikrIqatorevaM gopAlacCadmamAyayA => vi
ADJUST 108: 71957:klid:679241:A, sOhfdAklinnacetas => A
ADJUST 109: 71957:klid:679246:vi, viklinnahfdaya => vi
ADJUST 110: 71959:kliS:679283:sam, saMklizwakarman => sam
ADJUST 111: 71994:kzan:679548:vi, vikzata => vi
ADJUST 112: 72051:kzi:679993:upa, °kzIRa => upa
ADJUST 113: 72051:kzi:679999:pra, prakzIRacandra => pra
ADJUST 114: 72272:Kan:681613:prod, SfNgaprotKAtasnAnamfttika => prod
ADJUST 115: 72336:KAd:682022:A, AKAditadviradaSoRita => A
ADJUST 116: 72580:gam:683700:vyapa, vyapagatalepa => vyapa
ADJUST 117: 72580:gam:683744:anvA, °gata => anvA
ADJUST 118: 72580:gam:683747:samaByA, tvAM Bo mAnasa saMsmaranpunarasO haMsaH samaByAgataH => samaByA
ADJUST 119: 72580:gam:683750:aByupA, atisnehavaSAttvAM ca vayaM sarve 'ByupAgatAH => aByupA
ADJUST 120: 72580:gam:683753:paryupA, °gatAH => paryupA
ADJUST 121: 72580:gam:683772:ud, udgata => ud
ADJUST 122: 72580:gam:683856:aBisam, AryamiSrABisaMgata => aBisam
ADJUST 123: 72580:gam:683864:sama, samagacCatu => sama
ADJUST 124: 72592:gar:683992:ni, nigilati => ni
ADJUST 125: 72674:galB:684555:pra, yasyAH smaraRamAtreRa pragalBante vipaScitaH => pra
ADJUST 126: 72697:gA:684749:ava, avagItaM muhurdfzwamupalabDaM ca yadBavet => ava
ADJUST 127: 72697:gA:684757:ud, udgAti => ud
ADJUST 128: 72697:gA:684769:pra, pragIta => pra
ADJUST 129: 72762:gAh:685211:vi, vijagAha jalam => vi
ADJUST 130: 72829:guRay:685626:anu, anuguRita => anu
ADJUST 131: 72854:guRW:685771:ava, pAvakenAvaguRWitaH => ava
ADJUST 132: 72854:guRW:685775:samava, nIlaM satoyameGABaM vastraM samavaguRWitA => samava
ADJUST 133: 72854:guRW:685778:A, kusumarasavimuktavastramAguRWitAM => A
ADJUST 134: 72873:gur:685901:ava, avAgurat => ava
ADJUST 135: 73290:Garz:688802:ava, pARiByAmavaGfzya => ava
ADJUST 136: 73306:Guw:688916:vyA, °Guwita => vyA
ADJUST 137: 73315:GUrR:688981:A, vismayAGUrRitaM SiraH => A
ADJUST 138: 73315:GUrR:688985:vyA, °GUrRante - vanarAjayaH => vyA
ADJUST 139: 73315:GUrR:688988:vi, °GUrRantI => vi
ADJUST 140: 73342:GrA:689176:vyA, °jiGratIti vyAGraH => vyA
ADJUST 141: 73644:carc:691231:vi, vicarcita => vi
ADJUST 142: 73738:ci:691936:nis, vivAhaM ca niScikAyAhni saptame => nis
ADJUST 143: 73885:cud:692906:sama, AkarRasamacoditEH => sama
ADJUST 144: 73927:cezw:693193:A, sarvamAcezwate viDiH => A
ADJUST 145: 73998:Cad:693684:vipra, vipracCanna => vipra
ADJUST 146: 74025:Card:693872:A, anAcCfRRa => A
ADJUST 147: 74053:Cid:694120:samud, samucCinna => samud
ADJUST 148: 74061:Cur:694194:vi, utPullEH svarRakamalEH - tanmuKAmBoruhotsarpatkAntivicCuritEriva => vi
ADJUST 149: 74436:jIv:696603:A, AjIvyEkataraM BAvaM yastvanyamupajIvati => A
ADJUST 150: 74521:jYA:697225:ava, mAvajYa = mAvajAnIhi => ava
ADJUST 151: 74521:jYA:697234:nis, nirjYAtamadgati => nis
ADJUST 152: 74521:jYA:697241:pratipra, a\nye vA\ vE ni\Dimagu^ptaM vi\ndanti\ na vA\ prati\ prajA^nanti => pratipra
ADJUST 153: 74521:jYA:697259:saMvi, °jYAta => saMvi
ADJUST 154: 74619:jval:697860:saMpra, kroDAtsaMprajvalanniva => saMpra
ADJUST 155: 74717:takz:698468:anu, acCi^drA u\Sija^H pa\dAnu^takzuH => anu
ADJUST 156: 74862:tam:699392:ava, a/vatAnta => ava
ADJUST 157: 74862:tam:699395:ni, nitAnta => ni
ADJUST 158: 74894:tark:699685:prati, apratitarkita => prati
ADJUST 159: 74917:tarj:699819:sam, saMtarjyamAna => sam
ADJUST 160: 74923:tarp:699872:vi, vitfpto ruDirEstezAm => vi
ADJUST 161: 75098:tud:701031:sam, yaTAmayo 'sADu cikitsito nfRAM punaH punaH saMtudati prarohAn => sam
ADJUST 162: 75121:tul:701178:sam, SrutvApi te saMtulayanti tattvam => sam
ADJUST 163: 75136:tuz:701280:pari, °tutuzuH => pari
ADJUST 164: 75136:tuz:701284:sam, asaMtuzwA dvijA nazwAH saMtuzwA iva pArTivAH => sam
ADJUST 165: 75418:tvar:702946:pra, pratUrRa => pra
ADJUST 166: 75429:daMS:703023:A, aSukAdazwamekamAmraPalam => A
ADJUST 167: 75534:darS:703702:pratyA, pratyAdfSyanta => pratyA
ADJUST 168: 75586:dA:704109:vyA, °dehi => vyA
ADJUST 169: 76005:duz:706684:pra, amitro mitratAM yAti mitraM cApi praduzyati => pra
ADJUST 170: 76641:DU:710814:samud, mahAvAtasamudDUtaM => samud
ADJUST 171: 76689:DyA:711130:aBi, maNgalAnyaBidaDyuzI => aBi
ADJUST 172: 76778:nad:711692:ud, awwahAsa ivonnadan . siMhaH => ud
ADJUST 173: 76814:nam:711953:aBi, SirasABinato brUyAH sarvAsAmeva => aBi
ADJUST 174: 76814:nam:711977:samud, Sirassu yadyatsamunnamati => samud
ADJUST 175: 76814:nam:711980:upa, yAtrAmAtraM tvaharahardEvAdupanamatyuta => upa
ADJUST 176: 76814:nam:712008:pra, yadataptaM praRamate => pra
ADJUST 177: 76814:nam:712014:vi, vinata => vi
